motionName,frameNumber,speedX,speedY,hitAreaLeft,hitAreaRight,hitAreaUp,hitAreaDown,state,attack.hitAreaLeft,attack.hitAreaRight,attack.hitAreaUp,attack.hitAreaDown,attack.speedX,attack.speedY,attack.StartUp,attack.Interval,attack.Repeat,attack.Active,attack.HitDamege,attack.GuardDamage,attack.StartAddEnergy,attack.HitAddEnergy,attack.GuardAddEnergy,attack.GiveEnergy,attack.ImpactX,attack.ImpactY,attack.GiveGuardRecov,attack.KnockBack,attack.HitStop,attack.AttackType,attack.DownProp,attack.ImageHandle,cancelAbleFrame,cancelAbleMotionLevel,motionLevel,control,landingFlag,Image
CROUCH_A,16,0,0,170,230,140,305,CROUCH,260,315,185,205,0,0,4,0,0,4,15,0,0,30,15,10,5,0,10,5,2,3,FALSE,null,14,6,7,FALSE,FALSE,CROUCH_A
CROUCH_B,20,0,0,170,230,140,305,CROUCH,280,345,255,305,0,0,4,0,0,7,25,0,0,30,15,10,5,0,10,5,2,3,FALSE,null,20,6,7,FALSE,FALSE,CROUCH_B
AIR_A,15,0,0,170,230,100,305,AIR,230,300,165,205,0,0,5,0,0,6,10,0,0,30,15,10,5,-5,10,5,2,2,FALSE,null,18,6,7,FALSE,TRUE,AIR_A
AIR_B,26,0,0,170,230,100,305,AIR,260,310,200,240,0,0,7,0,0,7,30,0,0,30,15,10,5,-5,10,5,2,2,FALSE,null,15,6,7,FALSE,TRUE,AIR_B
AIR_DA,48,-2,-2,170,230,100,305,AIR,230,300,175,215,5,5,10,0,0,20,10,0,0,20,10,10,2,0,0,0,2,2,FALSE,null,-1,-1,10,FALSE,TRUE,AIR_A
AIR_DB,60,0,10,170,230,140,305,CROUCH,100,300,250,305,0,0,15,0,0,20,20,0,0,30,15,15,5,-5,10,5,2,2,FALSE,null,-1,-1,10,FALSE,TRUE,CROUCH
STAND_FA,32,0,0,170,230,100,305,STAND,320,390,145,170,0,0,11,0,0,13,30,0,0,30,15,10,15,0,10,5,2,1,FALSE,null,18,4,6,FALSE,FALSE,STAND_FA
STAND_FB,36,0,0,170,230,100,305,STAND,290,390,145,195,0,0,13,0,0,10,45,0,0,30,15,10,10,0,10,5,2,2,FALSE,null,30,4,6,FALSE,FALSE,STAND_FB
CROUCH_FA,36,0,0,170,230,140,305,CROUCH,280,325,145,200,0,0,9,0,0,2,30,0,0,30,15,10,10,0,10,5,2,3,FALSE,null,17,4,6,FALSE,FALSE,CROUCH_FA
CROUCH_FB,60,0,0,170,230,140,305,CROUCH,310,400,245,285,0,0,12,0,0,11,45,0,0,30,15,10,15,0,10,5,2,3,TRUE,null,55,4,6,FALSE,FALSE,CROUCH_FB
AIR_FA,33,0,0,170,230,100,305,AIR,290,360,185,250,0,0,9,0,0,4,20,0,0,30,15,10,10,0,10,5,2,2,FALSE,null,12,4,6,FALSE,TRUE,AIR_FA
AIR_FB,31,0,0,170,230,100,305,AIR,290,330,220,260,0,0,10,0,0,11,30,0,0,30,15,10,10,0,10,5,2,2,FALSE,null,23,4,6,FALSE,TRUE,AIR_FB
AIR_UA,30,0,0,170,230,100,305,AIR,170,250,50,110,0,0,8,0,0,10,20,0,0,30,15,10,5,0,0,2,2,2,FALSE,null,27,8,10,FALSE,TRUE,AIR_UA
AIR_UB,60,0,0,170,230,100,305,AIR,290,390,145,195,0,0,15,0,0,10,30,0,0,30,15,15,5,0,0,5,2,2,FALSE,null,54,8,10,FALSE,TRUE,STAND_FB
STAND_D_DF_FA,60,-5,0,170,230,100,305,STAND,280,325,145,200,5,0,15,0,0,65,30,15,-30,10,0,10,5,0,0,3,2,1,FALSE,null,54,2,3,FALSE,FALSE,CROUCH_FA
STAND_D_DF_FB,60,-5,0,170,230,100,305,STAND,290,340,185,230,4,-2,15,0,0,65,30,15,-30,10,0,10,5,0,10,5,2,1,FALSE,null,54,2,3,FALSE,FALSE,STAND_FB
STAND_F_D_DFA,60,0,0,170,230,100,305,STAND,290,360,185,250,2,1,10,0,0,30,80,40,-80,20,10,10,5,0,10,5,2,2,TRUE,null,-1,2,3,FALSE,FALSE,AIR_FA
STAND_F_D_DFB,60,20,0,170,230,140,305,CROUCH,280,350,220,260,0,0,10,0,0,20,70,35,-50,20,10,10,5,0,10,5,2,3,TRUE,null,-1,2,3,FALSE,FALSE,AIR_FB
STAND_D_DB_BA,60,15,0,170,230,100,305,STAND,320,390,145,195,0,0,12,0,0,15,80,40,-70,30,15,10,5,0,10,5,2,1,FALSE,null,54,2,3,FALSE,FALSE,STAND_FA
STAND_D_DB_BB,60,20,0,170,230,100,305,STAND,250,310,125,165,0,0,15,0,0,20,80,40,-50,30,15,10,10,0,10,5,2,2,TRUE,null,-1,2,3,FALSE,FALSE,DASH
AIR_D_DF_FA,60,8,-10,170,230,100,305,AIR,280,325,145,200,0,0,12,0,0,15,50,25,-30,20,10,10,5,-5,10,5,2,2,FALSE,null,54,2,3,FALSE,TRUE,CROUCH_FA
AIR_D_DF_FB,60,10,-8,170,230,140,305,AIR,290,330,220,260,0,0,20,0,0,15,60,30,-30,20,10,10,8,0,10,5,2,2,FALSE,null,54,2,3,FALSE,TRUE,AIR_FB
AIR_F_D_DFA,60,10,-5,170,230,100,305,AIR,230,300,165,205,0,0,10,0,0,15,40,20,-20,10,5,10,0,0,10,5,2,2,FALSE,null,54,2,3,FALSE,TRUE,AIR_A
AIR_F_D_DFB,60,10,-8,170,230,100,305,AIR,280,345,255,305,0,0,15,0,0,15,50,25,-20,10,5,10,5,0,10,5,2,2,FALSE,null,54,2,3,FALSE,TRUE,CROUCH_B
AIR_D_DB_BA,70,8,-10,170,230,100,305,AIR,320,390,145,195,0,0,20,0,0,15,50,25,-30,10,5,10,10,0,10,5,2,2,FALSE,null,63,2,3,FALSE,TRUE,STAND_FA
AIR_D_DB_BB,80,8,-10,170,230,140,305,AIR,290,330,220,260,0,0,15,0,0,15,50,25,-50,20,10,10,10,0,10,5,2,2,TRUE,null,-1,2,3,FALSE,TRUE,AIR_FB
STAND_D_DF_FC,80,30,0,170,230,100,305,STAND,250,310,125,165,0,0,8,0,0,60,400,200,-400,50,25,50,10,0,10,10,2,1,TRUE,null,-1,-1,10,FALSE,FALSE,DASH
